,path,functions,complexity,comment_lines_density,duplicated_lines_density,coverage,ncloc,security_rating,tests,test_success_density,test_execution_time,reliability_rating,filename,repository,version
731,src/App.js,3,4,0.0,0.0,,31,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
732,src/config/auth-api.js,0,0,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
733,src/helpers/auth-helper.js,1,1,0.0,0.0,,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
734,src/context/authContext.js,3,3,5.0,0.0,,19,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
735,src/services/authService.js,4,4,0.0,0.0,,18,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
736,src/config/content-api.js,0,0,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
737,src/index.js,0,0,0.0,0.0,,16,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
738,src/pages/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
739,src/pages/Login/index.js,4,6,0.0,0.0,,62,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
740,src/pages/Home/index.js,1,1,0.0,0.0,,5,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
741,src/helpers/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
742,src/components/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
743,src/components/Card/index.js,1,1,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
744,src/hooks/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
745,src/config/index.js,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
746,src/services/index.js,0,0,0.0,0.0,,2,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
747,src/routes/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
748,src/context/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
749,src/utils/index.js,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
750,src/config/interceptors-request.js,4,7,0.0,0.0,,36,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Multilind_Admin-2021-10-18-01.33.json,Admin,2021-10-18-01.33
